Tarih;Þimdi;Açýlýþ;Yüksek;Düþük;Fark %
13.042020;6.7722;6.7262;6.7903;6.7038;0.0069
12.042020;6.7259;6.6975;6.7465;6.6975;0.0039
10.042020;6.7001;6.6746;6.7298;6.6590;0.0038
9.042020;6.6746;6.7737;6.7979;6.6164;-0.0146
8.042020;6.7737;6.7550;6.7968;6.7512;0.0029
7.042020;6.7540;6.7801;6.7895;6.6927;-0.0041
6.042020;6.7815;6.7291;6.7951;6.7075;0.0075
3.042020;6.7310;6.6137;6.7517;6.6083;0.0175
2.042020;6.6153;6.7024;6.7205;6.5891;-0.0131
1.042020;6.7030;6.6149;6.7140;6.6087;0.0134
31.032020;6.6143;6.5764;6.6272;6.5490;0.0056
30.032020;6.5773;6.4549;6.5974;6.4433;0.0189
27.032020;6.4550;6.3982;6.4764;6.3885;0.0089
26.032020;6.3979;6.4169;6.5117;6.3793;-0.0030
25.032020;6.4170;6.4205;6.4773;6.3773;-0.0005
24.032020;6.4203;6.5605;6.5740;6.3917;-0.0216
23.032020;6.5617;6.5528;6.6185;6.5403;0.0014
20.032020;6.5525;6.5438;6.5665;6.4548;0.0013
19.032020;6.5439;6.4840;6.5582;6.4653;0.0106
18.032020;6.4752;6.4010;6.4945;6.3995;0.0122
17.032020;6.3974;6.4313;6.4980;6.3780;-0.0053
16.032020;6.4315;6.3310;6.4465;6.2780;0.0157
13.032020;6.3321;6.3139;6.3392;6.2400;0.0026
12.032020;6.3159;6.2089;6.3210;6.2027;0.0172
11.032020;6.2091;6.1584;6.2141;6.1245;0.0084
10.032020;6.1575;6.1485;6.1725;6.0996;0.0022
9.032020;6.1442;6.0919;6.1951;6.0833;0.0086
6.032020;6.0919;6.1097;6.1296;6.0645;-0.0030
5.032020;6.1105;6.0785;6.1354;6.0527;0.0055
4.032020;6.0773;6.1058;6.1472;6.0547;-0.0049
3.032020;6.1070;6.1779;6.2248;6.0307;-0.0109
2.032020;6.1743;6.2453;6.2615;6.1575;-0.0110
28.022020;6.2427;6.2110;6.2605;6.1950;0.0056
27.022020;6.2078;6.1570;6.2115;6.1452;0.0079
26.022020;6.1590;6.1441;6.1674;6.1360;0.0024
25.022020;6.1441;6.1189;6.1612;6.0659;0.0043
24.022020;6.1177;6.0962;6.1624;6.0932;0.0035
21.022020;6.0964;6.1002;6.1289;6.0870;-0.0007
20.022020;6.1004;6.0825;6.1114;6.0760;0.0030
19.022020;6.0823;6.0629;6.0892;6.0447;0.0030
18.022020;6.0642;6.0455;6.0765;6.0410;0.0032
17.022020;6.0449;6.0542;6.0602;6.0332;-0.0009
14.022020;6.0505;6.0377;6.0683;6.0311;0.0017
13.022020;6.0405;6.0480;6.0686;6.0353;-0.0002
12.022020;6.0420;6.0130;6.0670;5.9960;0.0043
11.022020;6.0163;6.0098;6.0501;5.9985;0.0009
10.022020;6.0108;6.0164;6.0257;5.9720;-0.0007
7.022020;6.0153;5.9869;6.0476;5.9725;0.0047
6.022020;5.9874;5.9803;5.9900;5.9726;0.0008
5.022020;5.9827;5.9820;5.9920;5.9688;0.0004
4.022020;5.9801;5.9843;5.9888;5.9575;-0.0007
3.022020;5.9844;5.9829;5.9877;5.9729;0.0004
31.012020;5.9822;5.9727;5.9870;5.9639;0.0016
30.012020;5.9725;5.9617;5.9934;5.9563;0.0027
29.012020;5.9567;5.9409;5.9753;5.9327;0.0028
28.012020;5.9403;5.9422;5.9537;5.9260;-0.0006
27.012020;5.9440;5.9392;5.9574;5.9290;0.0008
24.012020;5.9391;5.9314;5.9478;5.9170;0.0008
23.012020;5.9344;5.9220;5.9495;5.8994;0.0021
22.012020;5.9222;5.9405;5.9478;5.9150;-0.0026
21.012020;5.9376;5.9121;5.9416;5.9107;0.0041
20.012020;5.9132;5.8810;5.9218;5.8810;0.0038
17.012020;5.8908;5.8574;5.9106;5.8410;0.0053
16.012020;5.8597;5.8773;5.8963;5.8350;-0.0027
15.012020;5.8758;5.8815;5.9008;5.8654;-0.0010
14.012020;5.8819;5.8674;5.9036;5.8579;0.0025
13.012020;5.8671;5.8839;5.8845;5.8509;-0.0018
10.012020;5.8777;5.8706;5.8966;5.8535;0.0006
9.012020;5.8739;5.9093;5.9306;5.8593;-0.0060
8.012020;5.9091;5.9710;5.9881;5.8950;-0.0106
7.012020;5.9727;5.9677;5.9791;5.9459;0.0006
6.012020;5.9690;5.9758;5.9811;5.9631;-0.0006
3.012020;5.9723;5.9545;5.9785;5.9460;0.0026
2.012020;5.9566;5.9458;5.9615;5.9415;0.0017
1.012020;5.9466;5.9461;5.9491;5.9375;-0.0004
31.122019;5.9489;5.9451;5.9521;5.9369;0.0002
30.122019;5.9479;5.9521;5.9540;5.9348;-0.0004
27.122019;5.9502;5.9261;5.9604;5.9220;0.0028
26.122019;5.9335;5.9344;5.9479;5.9289;-0.0003
25.122019;5.9350;5.9459;5.9488;5.9260;-0.0020
24.122019;5.9468;5.9474;5.9564;5.9250;-0.0003
23.122019;5.9486;5.9393;5.9513;5.9135;0.0014
20.122019;5.9400;5.9424;5.9469;5.8994;-0.0003
19.122019;5.9417;5.9260;5.9475;5.8987;0.0026
18.122019;5.9261;5.8866;5.9345;5.8852;0.0068
17.122019;5.8860;5.8503;5.8930;5.8441;0.0062
16.122019;5.8498;5.8116;5.8625;5.8029;0.0072
13.122019;5.8082;5.7885;5.8264;5.7639;0.0029
12.122019;5.7914;5.8084;5.8122;5.7585;-0.0028
11.122019;5.8074;5.8038;5.8188;5.7880;0.0003
10.122019;5.8057;5.8104;5.8205;5.7865;-0.0010
9.122019;5.8113;5.7786;5.8201;5.7709;0.0060
6.122019;5.7766;5.7458;5.7898;5.7350;0.0049
5.122019;5.7485;5.7459;5.7724;5.7364;-0.0004
4.122019;5.7508;5.7429;5.7611;5.7304;0.0013
3.122019;5.7431;5.7395;5.7645;5.7241;0.0003
2.122019;5.7415;5.7488;5.7663;5.7293;-0.0010
29.112019;5.7470;5.7496;5.7669;5.7310;-0.0020
28.112019;5.7585;5.7795;5.7903;5.7536;-0.0034
27.112019;5.7779;5.7575;5.7914;5.7445;0.0032
26.112019;5.7597;5.7420;5.7736;5.7316;0.0032
25.112019;5.7416;5.7246;5.7611;5.7034;0.0050
